Name,Height (cm),Grade,Gender,Resident Number,Weight (kg)
Student_49,160.302963648795,12,Male,851120-2133908,46.37907890467483
Student_50,173.87136558400516,7,Female,951104-1394383,76.6385647526482
Student_51,185.41667415957812,8,Female,801210-2180966,53.61415254049033
Student_52,171.56086304563448,4,Female,950827-2416714,71.83713080596321
Student_53,169.78876836909808,5,Female,900325-1015236,89.13382552752424
Student_54,172.03782288001673,1,Male,801208-1952570,51.659742376433925
Student_55,159.4362259992372,4,Male,980109-2278409,78.78668224651926
Student_56,152.03124839726794,2,Female,950220-1157734,57.09791113641214
Student_57,164.72724616808722,10,Female,910728-1810548,61.01595937737444
Student_58,186.65126496416227,1,Female,800205-1450908,88.74602454508265
Student_59,175.2105069863281,2,Male,880513-2042942,48.341813730915405
Student_60,156.75576110415753,6,Male,830827-2158070,56.40526092987142
Student_61,160.48325614573537,9,Male,840304-1840013,68.87587685495788
Student_62,185.62970584316605,8,Male,870209-2059973,53.67364297902867
Student_63,155.2681923948723,2,Male,940508-1221613,47.48554214692188
Student_64,157.35228093514408,11,Female,831014-2985603,54.64590662552337
Student_65,165.92679365216313,2,Female,850814-2326440,46.611547929278515
Student_66,155.13476726518874,11,Male,980324-2142016,88.76470331389649
Student_67,183.38212135271056,11,Female,881104-2357836,63.37820444867171
Student_68,161.45240628251395,1,Male,910307-1359103,87.87671327953913
Student_69,189.55307635570216,1,Male,880908-2419911,64.74612794145214
Student_70,173.76129096408073,9,Male,991116-1104861,80.8861280432102
Student_71,160.15159869439938,9,Female,821021-1500522,80.4898057796675
Student_72,188.56335970171676,3,Male,900214-2481286,58.54769869035158
Student_73,177.67251138698595,5,Female,880628-2389543,60.16027732121354
Student_74,151.93517708793735,8,Male,860716-2221122,77.87655581273071
Student_75,174.57047959726358,6,Female,841015-1267152,46.744225143011406
Student_76,157.08901480710654,1,Male,870318-1192908,46.819878820334054
Student_77,166.2796403045919,10,Female,950206-1809876,55.22120433927706
Student_78,187.4065435976948,12,Female,841017-1271274,87.62705865022033
Student_79,157.99333183245034,12,Male,990822-2469334,71.282165082282
Student_80,159.99473292012797,6,Female,951001-2121759,72.84910215258735
Student_81,150.33821757074202,12,Female,821023-2960818,53.13059601815982
Student_82,177.54389859013864,4,Male,910126-1125451,87.75436159089628
Student_83,164.04451395997708,7,Female,930920-2671848,86.8448845636918
Student_84,180.74554923565682,7,Female,870728-2006426,84.7143846141559
Student_85,157.9639751398603,2,Male,800207-2592897,48.995786592087164
Student_86,154.30576817553427,2,Male,830526-1703265,54.20814322659038
Student_87,181.08741466266716,12,Male,990825-1796878,56.85464632843463
Student_88,177.14725932060705,12,Female,930207-1272648,56.43457591303901
Student_89,185.43355351272248,12,Male,811124-2812892,63.19928681825884
Student_90,177.62350857476818,3,Male,951027-2156224,89.93968828056461
Student_91,185.6178437760617,11,Female,950328-2008595,55.09669368391344
Student_92,162.75760769988742,1,Male,950828-2649184,75.07704152937819
Student_93,181.506443294187,8,Female,820220-2337516,77.92822184629075
Student_94,151.07947214551623,10,Male,860802-1508720,51.46678156871452
Student_95,151.80950722290993,7,Female,830224-1018138,77.68994689028753
Student_96,153.4325399240032,5,Male,880515-2440202,49.284488191869066
Student_97,170.71747326612234,10,Female,990714-1815264,73.85738986813193
Student_98,181.11968898792182,9,Female,881204-2764585,84.1386092767416
Student_99,159.88226507670362,3,Female,931001-2074282,88.96317565250848
Student_100,188.88099100836322,10,Female,910209-1147267,76.19252089298804
Student_101,182.05014179737788,10,Female,940402-2626670,77.6568330119812
Student_102,158.07150935531917,2,Male,921118-1296749,69.74548268090217
Student_103,159.10449443454195,7,Male,901015-1750767,77.5752696199927
Student_104,186.72432093148245,7,Male,941124-1700680,49.93679932714713
Student_105,160.98603369494828,11,Female,980827-1943399,85.51085054540076
Student_106,178.15111690009698,6,Male,881224-1560683,66.6776040626574
Student_107,153.0672067589498,6,Female,880924-1668771,64.6306100932614
Student_108,179.61090301510842,11,Female,850523-1979414,69.96982117537705
Student_109,182.01601658423942,2,Female,880517-2881796,74.49445566720425
Student_110,164.41785690143894,1,Male,880124-2994305,65.20520693904784
Student_111,170.49872121308718,5,Female,880716-2029424,75.69630922691968
Student_112,182.86606789482303,10,Female,950119-2659813,50.174616510336286
Student_113,171.927796668506,11,Female,970719-2269935,69.86701842288998
Student_114,172.12781367323552,1,Female,901020-1992197,84.8157387321618
Student_115,161.0568033596462,6,Male,820820-1673547,88.71664671323433
Student_116,188.00099274764523,12,Male,920303-1157350,60.952129339873736
Student_117,183.62972707288694,12,Female,920307-2116597,84.77788851124143
Student_118,165.5001388215391,2,Male,810715-1210712,55.54134164419314
Student_119,177.0453482515771,8,Male,830912-1112163,84.71545021656371
Student_120,163.23781588555005,1,Female,811221-1128433,45.811881633891026
Student_121,172.65789713088867,5,Female,890309-2339901,77.79386399574119
Student_122,178.39312043455277,2,Female,900301-1303216,84.24794996823215
Student_123,185.0291033022171,11,Male,910628-2359062,60.61144692718182
Student_124,161.59674424201822,8,Female,970509-1174995,55.04968259843643
Student_125,170.5824046141162,9,Female,811019-2101160,81.81199394575981
Student_126,166.19463369125074,6,Female,801011-2969368,46.56390018355612
Student_127,151.81431213266467,2,Female,960912-1891373,61.35677786363321
Student_128,182.42137512884574,2,Female,990918-2678099,86.58927801927874
Student_129,172.09600954346024,11,Male,940921-2142493,81.53346495675359
Student_130,168.14770724926927,1,Female,850825-1747981,62.4365717472236
Student_131,153.3079397777675,10,Male,961023-2317138,76.09135445527471
Student_132,188.56079194814157,3,Female,851202-2579840,76.69485599085678
Student_133,177.37206090768075,10,Male,931121-2645026,73.52378875089431
Student_134,153.91624784775826,8,Male,980721-1429452,57.17290059976514
Student_135,172.63322822377143,2,Female,820706-1684958,54.223318094339795
Student_136,179.110252783361,7,Male,860815-1973262,80.42555720918331
Student_137,184.35003024486528,2,Female,840918-1644977,68.16152796854755
Student_138,160.4912578599635,5,Male,880406-2350123,56.38831669086398
Student_139,151.10565520649027,2,Female,981013-1449380,50.62936420242542
Student_140,164.43537774343213,11,Female,840907-2551858,80.8666276309028
Student_141,180.85137720906047,7,Male,940814-1831692,79.85288839557157
Student_142,155.7243542121724,7,Male,981027-1198712,61.320747635142894
Student_143,153.0233693803272,12,Female,870412-1468571,51.67075296846121
Student_144,186.164100492739,12,Male,821006-1759172,55.96886672879485
Student_145,170.22407472561352,2,Male,870913-2811083,66.74138562847833
Student_146,156.54312583065067,6,Female,991022-1098888,48.801766415846274
Student_147,180.35312176906635,7,Male,860516-1367636,89.05808229302033
Student_148,154.71387320804732,10,Male,881106-1225484,67.96721892281789
Student_149,155.24946647470807,11,Female,981128-1728990,72.16631670748305
Student_150,188.99510442515702,8,Male,840503-2699780,88.6323317762178
Student_151,156.58140452825853,6,Female,960723-2033069,73.91327407572157
Student_152,165.7973120788824,4,Female,810320-1779405,68.34161408535718
Student_153,181.21970594184097,8,Female,830214-1507606,73.33997086980737
Student_154,179.76551696802613,6,Male,880501-2419838,54.47185464924305
Student_155,177.6785840082991,3,Female,830420-1193747,78.17523226555767
Student_156,154.64201612902244,11,Female,880811-1852796,78.3764899035553
Student_157,158.5445171708493,2,Male,830522-2382309,49.997236486476076
Student_158,161.59923620809946,5,Female,870412-2690720,49.977503129178935
Student_159,152.65396088942583,3,Female,900911-1970865,58.297252869433606
Student_160,157.88778189365334,9,Female,911009-1427805,86.9580825955817
Student_161,162.5824532656224,6,Male,900823-1672070,86.51088417395869
Student_162,179.1215215430692,3,Female,840918-2649624,75.71807564393306
Student_163,164.07979979370225,12,Female,940918-1953508,53.428575707830504
Student_164,153.3335265649563,11,Male,911119-1752990,46.48151949734308
Student_165,160.71945647872118,6,Male,820904-2445458,53.173877247092726
Student_166,166.4001805528153,9,Male,821128-2540818,47.76133516457558
Student_167,182.2253457068526,6,Female,970418-2150227,88.81152430755986
Student_168,154.08501685171476,9,Male,810524-1814713,85.06206954768638
Student_169,166.24438061581003,3,Male,840625-2521012,86.36400960682357
Student_170,179.14292278236326,2,Female,830112-2882452,66.52199172091994
Student_171,156.47168148673543,6,Female,910814-2210750,65.13002617503194
Student_172,170.68802785065986,6,Male,900201-1447040,69.32165839257763
Student_173,154.71582109199625,3,Female,921123-1253205,60.87794920872503
Student_174,182.5768948973332,3,Male,860928-2777431,83.26957494123172
Student_175,151.45993547654524,4,Male,981018-1818347,56.17373792150474
Student_176,180.8915831291776,4,Male,900813-1877650,83.48354432410414
Student_177,184.00669459790055,1,Female,931115-1357113,69.82860902227685
Student_178,160.71112370925712,4,Male,990707-2640801,88.46573534320926
Student_179,170.05270606393194,7,Female,870623-1156229,84.14215320549422
Student_180,176.70380019475644,1,Male,890606-2848529,72.37770680210642
Student_181,189.44957893295333,1,Male,860722-2374107,88.13679297775073
Student_182,183.40855594076402,8,Female,900320-2867613,79.04697554911162
Student_183,171.4553679627858,4,Male,970817-1384963,67.57965194830815
Student_184,179.2744079495738,4,Male,811227-1262995,55.818244163200504
Student_185,170.55090263449827,4,Male,900512-1962508,55.31424181506928
Student_186,154.4362266822206,8,Male,900722-2901827,68.6142831486292
Student_187,152.99417116723825,4,Male,840520-1734023,46.90089913034253
Student_188,152.12544120604773,4,Male,881216-1303610,46.04845448101721
Student_189,182.4430352614173,4,Male,910621-1518367,62.43204643015402
Student_190,183.57513733633348,8,Male,960214-1444398,75.2751183702651
Student_191,154.22462010575356,10,Female,930116-2720274,64.53173894457788
Student_192,173.02986426585127,2,Female,910820-2062737,53.318250652517705
Student_193,187.55991697342682,8,Male,810124-2768582,83.97567594761415
Student_194,155.47787742064486,8,Female,930521-2883910,79.3715868091136
Student_195,184.57086710083973,10,Female,900725-2652058,71.50302929267448
Student_196,182.40182234912112,7,Male,841103-1015848,85.7641746303344
Student_197,164.53905046748352,10,Female,830904-1322308,73.18802739426752
Student_198,189.37001584986763,6,Male,950117-1160884,56.775625438193174
Student_199,163.17707141898026,8,Female,861119-2783573,51.35850182727175
Student_200,152.29674474004977,1,Female,800901-2160191,63.67390151667036
Student_201,154.7737177645143,2,Male,960923-2763687,80.25612889544004
Student_202,154.11362904318557,10,Male,990120-1849277,80.94074962468025
Student_203,160.9191249459828,7,Female,961019-1249255,89.21193069475311
Student_204,169.2741017059067,7,Female,941111-1094675,85.17489743199008
Student_205,175.60602344738052,3,Female,870507-2372401,84.50604059443052
Student_206,162.24750969097158,7,Female,921226-2050272,46.08023534101875
Student_207,150.80549349639554,7,Male,810117-1745153,62.44509941398567
Student_208,181.50132608514275,10,Female,950315-1359272,86.8038668654331
Student_209,172.13277882277018,6,Male,900606-2280881,62.92738292083958
Student_210,157.65103364441933,9,Female,830107-1448917,80.25390164696384
Student_211,162.4774195889211,1,Male,910707-2095522,83.00188029192404
Student_212,172.25422496053596,9,Male,980905-2291327,72.86343849174239
Student_213,187.36534738555264,10,Female,880508-2910991,85.8806309169592
Student_214,181.2825741916219,11,Male,880720-1364624,70.57258340523266
Student_215,170.23786006169246,7,Female,911124-2966078,82.14952113841713
Student_216,163.8976043209832,1,Male,830705-2962571,53.051434251624855
Student_217,185.40596511489926,11,Female,941103-1356927,55.98481282965647
Student_218,184.4302833353505,5,Male,810608-1824474,79.43498487817098
Student_219,161.34102045630462,8,Female,920210-2050924,75.56533776970048
Student_220,161.2566749802792,2,Female,930904-1988417,51.007739858396285
Student_221,155.16590405347432,2,Male,800926-1638392,52.59434258741533
Student_222,159.78930111357388,2,Female,860406-1173900,61.37685153138539
Student_223,161.99131049377092,6,Female,850828-1670820,78.14248530326458
Student_224,158.7484883104636,5,Female,880521-1607295,80.99893740689163
Student_225,162.56212042994522,2,Female,950615-2428489,75.93462876937994
Student_226,155.97741498240663,11,Female,950413-1570524,61.098468816927465
Student_227,157.4580027700745,10,Female,860408-1241662,57.948163514017686
Student_228,156.32614035510534,10,Male,950208-1550840,81.49091500219004
Student_229,156.77242182197645,11,Male,941222-2861884,86.19733575298471
Student_230,152.07590877786248,6,Female,991213-1621919,85.25470566090446
Student_231,157.07278115465888,4,Female,810918-1408198,76.87941516502616
Student_232,153.04227052294428,10,Female,870418-2099515,78.77330741720922
Student_233,174.2980440624896,2,Male,900902-2289498,88.82696256418278
Student_234,167.90760195382236,6,Female,880417-1714235,83.4453141856613
Student_235,166.7178549089907,9,Female,851203-2492141,86.28345362343723
Student_236,151.41821626703742,10,Male,950517-2778332,51.82895764329397
Student_237,188.07980635815045,1,Female,990911-1266174,65.18338713505403
Student_238,187.85495804491038,2,Female,841213-1338468,85.81654503754268
Student_239,166.5759171327236,8,Male,951020-2457123,78.04221665457553
Student_240,169.38830919841084,5,Female,830211-2362151,68.32948844765754
Student_241,188.30391027298253,2,Female,920801-2179991,75.66344370666067
Student_242,181.78938002440088,6,Male,920522-1824373,79.98739480776042
Student_243,171.10807881560075,12,Male,940109-2307490,82.10811876576776
Student_244,159.10603417164901,8,Male,890225-2842620,72.11668241777281
Student_245,166.73101401913652,6,Female,900512-2651694,69.13888267684523
Student_246,183.75895956437907,12,Male,840119-2844016,68.43945505710379
Student_247,150.34699372161717,10,Female,900407-2107015,88.91503668837476
Student_248,160.09071994696558,6,Female,930407-2921950,76.93529033950408
Student_249,167.3074568646353,11,Female,921221-1807017,51.60269033383964
Student_250,174.1162251487166,10,Male,980924-2523931,70.42898056213869
Student_251,187.60082414773655,1,Male,820423-1878478,83.38647466487168
Student_252,182.05366804500244,6,Male,961023-1326132,48.919127528902166
Student_253,155.5514993025715,11,Male,821006-2106749,84.68869358580608
Student_254,167.26365826745985,1,Female,870818-1963487,81.78487555347661
Student_255,155.27972070806118,12,Female,910309-2827560,80.569095400685
Student_256,188.56053469769535,8,Female,880426-2757564,81.24796572711844
Student_257,162.05543617781836,11,Male,860905-2709468,59.53105692891083
Student_258,184.50082956470692,5,Male,870608-2796796,88.62609860229051
Student_259,174.30387888412724,3,Female,990918-2703386,50.193557699274145
Student_260,160.59286246370635,1,Male,820827-2623902,50.548913444921475
Student_261,153.45728138571815,7,Female,881020-1748657,65.22999748478254
Student_262,184.29498856376833,11,Female,980222-2110558,60.12471792243483
Student_263,165.42453508968885,8,Male,830803-2648642,61.00500667991574
Student_264,189.30931964409305,9,Female,830527-2364961,66.43089930636947
Student_265,164.72275697427452,9,Female,811028-2781844,47.54844796014846
Student_266,176.97239697204066,4,Female,920328-1477598,61.678896435425784
Student_267,152.81345203374997,3,Female,910623-2441662,65.67195142847956
Student_268,185.45762532858225,4,Male,800916-2044622,58.199593320384494
Student_269,174.30360276915917,6,Female,950403-2285673,78.27881769935266
Student_270,173.91145011644454,3,Male,930704-1446341,58.29453126601529
Student_271,154.34494554475003,12,Female,940703-2045878,71.97179911126082
Student_272,171.660068849204,5,Male,961020-1437388,60.3973249856105
Student_273,187.17678921056967,2,Male,980827-1690362,84.49210430437222
Student_274,184.82994776363697,8,Male,970127-1233652,52.47614426742821
Student_275,162.2639747879856,7,Male,940103-2850805,65.46528020011236
Student_276,151.25084650079728,3,Female,890924-2022919,78.57286400060298
Student_277,174.42416222554323,3,Male,911211-2036275,67.84865046167566
Student_278,189.35543960596615,12,Female,871010-1455863,54.77749204545956
Student_279,157.66985348770945,7,Male,810806-2989233,45.18431365573216
Student_280,157.70812338157896,6,Male,961208-1871560,84.86800980331549
Student_281,186.98240560043448,5,Male,900911-2727661,49.488816289081846
Student_282,187.12398838005805,7,Male,980806-2282480,57.8881707557056
Student_283,152.53614350712084,10,Female,991207-1537010,58.562868717157194
Student_284,158.67926773639772,2,Female,940118-2842291,69.64112817402383
Student_285,173.05487339121652,5,Male,980305-2023234,87.1738839029927
Student_286,163.8566292476251,1,Male,920815-2296094,82.05383285435143
Student_287,164.08877693834683,2,Male,890222-1777477,50.59852604103854
Student_288,174.31056614476446,3,Male,891212-1229794,50.85645094098942
Student_289,153.61013853818807,4,Male,830107-1310985,84.46684209980191
Student_290,183.21891605897525,8,Female,930822-1852264,59.318840406923606
Student_291,164.5296507242451,7,Female,971001-2977678,47.21991298412088
Student_292,165.85934117996518,9,Female,890612-1880154,83.55330714736473
Student_293,175.97706021156102,4,Male,840326-2054586,84.98514967100516
Student_294,162.26355565114238,7,Female,940913-1154549,89.00225247586486
Student_295,170.20720741982353,4,Male,801027-1725917,70.7606277704249
Student_296,161.5586456514327,7,Male,800202-1556278,78.05811531026848
Student_297,179.4744646468777,4,Female,800615-1649134,55.3746473792727
Student_298,167.42509480210742,11,Male,890914-1804075,70.59345325974783
Student_299,159.82165483175228,6,Male,900911-2907650,81.2805158725961
Student_300,175.858644848254,4,Male,820102-2663327,67.48773528329552
Student_301,162.42678626028027,5,Female,810308-1001713,55.540811357883236
Student_302,167.70681464742526,8,Male,910716-1572045,75.46536055823418
Student_303,185.14963023419912,5,Male,871212-2327610,80.48495398431322
Student_304,173.30781000065443,11,Male,840412-1968259,86.38874823397225
Student_305,176.79044970236987,11,Female,920319-1400705,62.787475579605754
Student_306,159.73167331407157,9,Male,821012-2887477,83.04075708855034
Student_307,186.21566335731163,7,Female,800223-2328667,47.03846721628111
Student_308,168.87317228875918,1,Female,830826-1271757,86.7775669814063
Student_309,189.47763924019924,1,Female,840802-1890395,87.34833024430301
Student_310,183.19072684035368,2,Female,801007-1898940,87.81090736236733
Student_311,179.3528430528843,5,Female,830511-2176100,71.93345355506729
Student_312,183.29848799158145,12,Male,960817-2033022,46.653209371792755
Student_313,179.88377452702633,9,Male,850322-2331583,88.17288364752031
Student_314,162.53640354919287,10,Female,871114-2924988,59.03085837670591
Student_315,186.0714013891327,10,Male,960609-2354297,89.84533618418595
Student_316,186.6781782134006,5,Male,810812-1449044,54.000700245989854
Student_317,186.19157441911068,5,Female,911017-2378509,87.6967547101564
Student_318,161.95246162992564,12,Female,820227-2684304,47.138152539543455
Student_319,165.03395039359458,7,Male,810505-1740232,69.6826537645538
Student_320,174.85029083052072,3,Male,831205-2163951,60.96170578298317
Student_321,188.00516105124524,3,Male,870619-2039113,86.06401781136466
Student_322,152.59320195190512,12,Male,870327-2407873,73.03585558162332
Student_323,165.46149417771767,5,Male,861110-1934569,51.0663691421101
Student_324,172.51250055117748,10,Male,810424-2144674,83.00482039780802
Student_325,153.54943375636233,5,Male,980416-2654882,76.72447246008322
Student_326,164.63195373018127,9,Female,800918-1150811,51.7171027064866
Student_327,171.98255492992354,8,Male,860924-1201162,69.77948872164298
Student_328,152.29211392813286,6,Male,950608-1237140,64.05419489963089
Student_329,162.41834325843416,10,Male,960812-1347856,52.36343908795095
Student_330,175.1712317385404,12,Male,810927-2919225,78.67890319052486
Student_331,152.56686211068566,5,Female,970406-2558205,63.511914898922846
Student_332,186.70670974617656,5,Male,990724-1690867,72.50984609195982
Student_333,186.61457687518663,5,Female,861012-2616660,77.64381544295601
Student_334,157.05045864440928,9,Female,960820-1083656,64.45959964617765
Student_335,165.6269972115019,6,Male,981202-2122827,55.28612265515782
Student_336,168.5458812639533,5,Male,930617-2185598,79.14206034500103
Student_337,155.63912699579816,11,Male,801006-1298885,71.25358744158747
Student_338,180.21594828907192,7,Male,800725-2252178,51.36743394318478
Student_339,154.8582809425174,3,Female,950315-2493103,82.69415534530725
Student_340,173.02312206496777,12,Female,801120-1239976,76.99769643628282
Student_341,184.2465741343841,9,Male,811113-2990379,60.28312590375345
Student_342,156.70429506026196,4,Female,960607-1749193,70.11007118306253
Student_343,179.34278906615054,4,Female,900325-2756452,65.28667654132123
Student_344,180.18018571158092,11,Male,890115-1030221,75.62192966062722
Student_345,157.4863279006252,9,Male,940316-2998332,55.040907178867144
Student_346,163.56617258179878,7,Male,870607-2633180,61.99880095579129
Student_347,189.3368851580216,4,Male,830515-1000584,64.64532210848175
Student_348,161.1442742429522,7,Female,990521-2604553,51.29579242679104
Student_349,157.83862167740847,4,Female,880716-1209872,48.89933090310995
Student_350,176.33893720804434,6,Female,861211-2665845,64.48428381984573
Student_351,167.51032323294567,7,Male,950406-1835662,62.822042320905126
Student_352,155.4533996677327,11,Female,910104-1513743,69.55665916010258
Student_353,163.63934691849042,4,Male,810708-1632669,85.86479324807428
Student_354,189.12116623572916,12,Female,990515-2944919,60.68790043991012
Student_355,182.22294010416414,8,Male,820610-1485792,52.21942469310271
Student_356,188.319539084538,3,Male,851025-1124655,71.77042010499918
Student_357,163.0527535024325,8,Female,960503-2888280,60.99882559011954
Student_358,169.41496463481727,5,Female,880815-1980933,51.30401657627223
Student_359,171.42312913489312,7,Male,990315-2617786,80.30062688016679
Student_360,177.2457502888558,9,Male,970418-1044963,75.06867734611392
Student_361,159.47366480370866,7,Female,850801-1182374,74.3204706951788
Student_362,153.7066251624554,8,Female,800816-1777878,64.93292950036975
Student_363,169.6134103449403,8,Male,970322-2038197,45.83824447528163
Student_364,159.2636615041758,4,Female,800409-1885039,50.68751856290062
Student_365,181.03697317575325,6,Female,940403-1886396,71.75372241360083
Student_366,179.82136749056752,12,Female,850901-1306074,77.71907491888038
Student_367,156.0259642514365,10,Female,821222-2387066,70.77333048339293
Student_368,157.50360368524835,4,Female,891012-1178971,56.17630180624822
Student_369,174.49880773150392,4,Female,851109-2660051,77.29328173267021
Student_370,151.32969108158758,8,Female,890410-1547623,77.35428256928097
Student_371,184.07680005879942,1,Female,961225-1289041,51.004839821166385
Student_372,151.1810567422427,7,Female,950727-2734959,46.13930138918209
Student_373,162.84607613657246,10,Female,891122-2835033,69.428527214378
Student_374,165.74410693867227,9,Female,871220-1135550,45.01858669590934
Student_375,185.79466733929547,12,Male,991225-1542096,60.17203785885553
Student_376,184.90497790392902,7,Male,900710-1935569,79.14971945311359
Student_377,176.9007222012783,2,Male,851212-2313373,64.62049414643015
Student_378,182.61069389132524,4,Male,840525-1501593,55.83326543157888
Student_379,178.83898323474207,1,Male,870604-1579652,63.99021089907537
Student_380,159.91221489448014,1,Male,891210-1002602,56.49505046754635
Student_381,171.46383418258827,5,Male,810406-1012916,60.2404868828626
Student_382,181.30118591309983,11,Female,890704-1172193,51.34015943275107
Student_383,176.17019411903453,9,Female,970217-2031416,71.7145770843398
Student_384,180.30511660243906,4,Female,870622-2444045,71.23390411184108
Student_385,158.86646093116002,10,Female,810414-2629824,74.77240836168794
Student_386,154.32982242028416,6,Female,920610-1201566,61.45254120261991
Student_387,166.17528813273563,10,Male,950420-1520128,56.72300418536065
Student_388,158.82213036227452,5,Female,850312-1641019,51.7596430887922
Student_389,162.42029566325712,2,Male,850221-1635751,53.93527781632776
Student_390,176.7334940934063,9,Male,950215-1743885,63.738930630455634
Student_391,182.82838936812016,6,Female,920721-2925745,54.50256150385545
Student_392,183.38414955620402,12,Female,990519-2905406,59.618552243725205
Student_393,152.4445670959285,6,Female,820421-2016317,85.92023748961982
Student_394,185.0653291899699,12,Female,810724-1912399,52.77927579218115
Student_395,160.21928240354643,12,Male,890605-2557978,84.47668732188369
Student_396,186.21524293711516,11,Female,920326-2383490,67.5580336616574
Student_397,159.79838246179887,7,Male,931014-1758117,65.23367916507041
Student_398,181.8253301290503,1,Female,950303-2045646,54.863435526237666
Student_399,162.9974068073134,2,Male,950921-2418887,69.82573899178811
Student_400,165.5399978731484,8,Male,961001-2508168,46.24100013227808
Student_401,186.48984096058587,12,Male,900816-2873694,72.11318807098466
Student_402,156.17286011659544,10,Female,940216-2775769,78.44686210083157
Student_403,159.67025070896142,2,Female,850823-1072332,78.40503765961753
Student_404,178.19914204947585,10,Female,810406-2047074,47.732645870953974
Student_405,158.43327357587842,11,Male,841107-2526543,70.13788460977511
Student_406,151.49312844670405,8,Female,950324-2614874,82.39829039717338
Student_407,187.87057717235885,7,Female,860620-1843981,63.726051338106274
Student_408,156.5302072370147,1,Male,910713-2344348,53.669008292895654
Student_409,159.2558938571782,2,Male,960711-2323947,56.559456065956525
Student_410,165.11322042012895,10,Male,981213-1264263,65.08876952496112
Student_411,181.58984577572275,3,Female,960117-1763474,78.5506512705647
Student_412,163.090929014547,1,Female,820528-2504420,52.62055409043585
Student_413,176.35866946280552,11,Male,840622-2654266,67.3222081456166
Student_414,150.25448906264327,4,Male,831109-1258257,59.51261439465536
Student_415,158.4224924798087,11,Male,840724-1209054,72.42222631456275
Student_416,178.50106327800262,6,Male,951224-2428046,83.10192535761955
Student_417,173.61824385166335,5,Female,910627-2133582,65.58124694499244
Student_418,158.01693486867674,1,Male,850812-1909108,74.17984616739767
Student_419,186.9886058589493,8,Female,980104-1902942,70.51376199365178
Student_420,170.63067370917014,10,Female,910803-2760092,78.73528291542652
Student_421,162.57565841930904,1,Male,890310-1084162,88.6243072650922
Student_422,179.66850298046447,12,Female,941209-2458195,82.39628426908868
